english,tamil
"Select the drive or partition that you want to install the LILO boot loader here. If you want to use another boot manager along with LILO, this should be the MBR (master boot record) of your boot drive. In this case, you can select / dev/ hda if your boot drive is an IDE drive and / dev/ sda if your boot drive is a SCSI drive.","இங்க LILO boot loader install பண்ண வேணும்னு நினைக்கிற drive அல்லது partition-ஐ select பண்ணுங்க. LILO-வோட சேர்த்து வேற boot manager use பண்ணனும்னு நினைச்சா, இதுதான் உங்க boot drive-ஓட MBR (master boot record) -ஆ இருக்கணும். இந்த case-ல, உங்க boot drive IDE drive-ஆ இருந்தா / dev/ hda -வையும், SCSI drive-ஆ இருந்தா / dev/ sda -வையும் select பண்ணிக்கலாம்."
"At the same time, Rs.","அதே நேரம், Rs."
Do you like interacting with people?,உங்களுக்கு ஆள்ங்களோட interact பண்றது பிடிக்குமா?
Mom laughed.,அம்மா சிரிச்சாங்க.
State Municipal Administration Minister S P Velumani inaugurated the event.,இந்த event-ஐ state Municipal Administration Minister S P வேலுமணி அவர்கள்தான் inaugurate பண்ணாங்க.
Do what you have to do.,நீங்க என்ன பண்ணனுமோ அதை பண்ணுங்க.
I'm trying to do that.,நான் அதுக்காக முயற்சி பண்ணிட்டு இருக்கேன்.
But there is no doubt that some people in the military hierarchy see this tsunami disaster as a perfect opportunity to attack the LTTE.,"ஆனா, military hierarchy-ல இருக்க சில பேர் இந்த tsunami disaster-அ LTTE-வ attack பண்றதுக்கு ஒரு perfect opportunity-ன்னு நினைக்கிறதுல எந்த doubt-ம் இல்லை."
"(b) According to Daniel 12:4, what is the result of studying the Scriptures carefully?","( b) Daniel 12: 4 - ன் படி, Scriptures -ஐ கவனமா படிச்சா என்ன result கிடைக்கும்?"
I know that!,எனக்கு அது தெரியும்!
What's the idea here?,இதுல என்ன idea-ன்னு சொல்லுங்க?
All the words have fallen.,வார்த்துகள் எல்லாம் விழுந்துடுச்சு.
More than 100 people have died.,100-க்கும் மேற்பட்ட பேர் இறந்து போயிட்டாங்க.
They exuded a wonderful spiritual gift.,அவங்க ஒரு அற்புதமான spiritual gift-ஐ வெளிப்படுத்தினாங்க.
I fainted.,எனக்கு மயக்கம் விழுந்துச்சு.
All of Bala's friends are confused!,பாலா-ஓட friends எல்லாம் confused-ஆ கைய வச்சு தேர்ச்சுறாங்க!
Compassion is one of the greatest gifts women can give to their families.,பெண்கள் குடும்பத்தினர் க்கு கொடுக்கக்கூடிய மிகப்பெரிய பரிசுகள்ல ஒன்னு compassion.
The accused works in a private firm.,அந்த accused ஒரு private firm-ல வேலை பாக்குறாரு.
Find out who it is.,யார்ன்னு கண்டுபிடிங்க.
Why an election?,எதுக்காக election?
"As the water continued to flow, many parts of the city were filled with water.","நீராட்டம் தொடர்ந்து வந்ததால, நகரின் பல பகுதிகள்ல தண்ணி நிரம்பி வழிஞ்சுடுச்சு."
The people in the house informed the police.,வீட்டுல இருக்கவங்க போலீஸுக்கு தகவல் சொல்லிட்டாங்க.
He paid for it.,அவர் அதுக்கு பணம் கட்டிட்டாரு.
Here are the details of this case.,இந்த case-ஓட details இதுதான்.
"How Shipra and Pua But Jehovah knows all too well about the actions of such excellent, courageous women, and if they were faithful to the end, he would record their names in the book in life and show them love. Philippines 4: 3. Matthew 24: 13.","ஷிப்ராவும் புவாவும் எப்படி ஆனா, இப்படி ஒரு excellent, courageous women-ஓட செயல்களைப் பத்தி Jehovah-க்கு நல்லாவே தெரியும், அவங்க கடைசி வரைக்கும் faithfully இருந்துச்சுன்னா அவங்க பேர life-ல book-ல record பண்ணிட்டு அவங்களுக்கு love-அ காட்டுவாரு. பிலிப்பைன்ஸ் 4: 3. Matthew 24: 13."
Brazil and India are among the top three beef exporters in the world.,உலகத்துல அதிகமா beef export பண்ற top three நாடுகள்ல Brazil-ம் India-வும் இருக்கு.
I will always be very grateful to him for that.,அதுக்காக அவருக்கு நான் எப்பவும் ரொம்ப நன்றி அடைஞ்சு வணங்கறேன்.
"90 Rural Areas in Union Blast of Karuthuthalam (Part), Srivaikuntam (Part) and Thoothukudi (Part) in Thoothukudi District | CWSS for habitations.","தூத்துக்குடி மாவட்டத்திலுள்ள கருத்துலம் (பகுதி), ஸ்ரீவைகுண்டம் (பகுதி), மற்றும் தூத்துக்குடி (பகுதி) யூனியன் பிளாஸ்ட்ல 90 கிராமப்புற| Habitations-க்கு CWSS."
We're saying this openly.,நாங்க இத வெளிப்படையா சொல்றோம்.
"At the same time, Rs.","அதே நேரத்துல, Rs."
There is no doubt that this reckless decision will lead to even greater tragedies.,இந்தப் பொறுப்பற்ற முடிவு இன்னும் பெரிய துயரங்களுக்கு வழிவகுக்கும் என்பதில் எந்த சந்தேகமும் இல்லை.
Select the program to play DVDs.,DVDs play பண்ணுறதுக்கான program-ஐ select பண்ணுங்க.
Women in Patriarchy,ஆணாதிக்கத்துல பெண்கள்
"Encouraging discontent from others, he became a face of Reddy uprising.","மத்தவங்க அதிருப்திய ஊக்குவிச்சு, Reddy uprising-க்கு ஒரு முகமாக ஆனாரு."
"But recent research has shown that the love from the rays is that Earth escapes from its revolving path and goes into the sun's region, which is the biggest red star, and it disappears.","ஆனா, recent research-ல சொல்லி இருக்காங்க, rays-ல இருந்து வர affection, பூமி அதோட revolving path-ல இருந்து escape ஆயிட்டு, sun-ஓட region-க்குள்ள போயிடும், அதுதான் biggest red star, அது disappear ஆயிடும்-ன்னு."
The date of Lok Sabha elections in Meghalaya is given below.,Meghalaya-ல Lok Sabha election நடந்த தேதி கீழே கொடுக்கப்பட்டுள்ளது.
Regional bosses.,Regional bosses-ஆ இருக்காங்க.
People in the Aam Aadmi Party are tracking the plans for BJP's prime ministerial candidate Narendra Modi.,"Aam Aadmi Party-ல இருக்குறவங்க, BJP-யோட prime ministerial candidate Narendra Modi-க்கான plans-அ track பண்ணிட்டு இருக்காங்க."
The case against P Chidambaram is being investigated separately by the CBI and the Enforcement Directorate.,P Chidambaram-க்கு எதிரான case-ஐ CBI-யும் Enforcement Directorate-ம் தனித்தனியா விசாரிச்சிட்டு இருக்கு.
Congress veteran and former Karnataka Chief Minister Siddaramaiah has slapped a slap on his relative in the public.,"Congress veteran மற்றும் முன்னாள் Karnataka Chief Minister Siddaramaiah, public-ல அவரோட சொந்தக்காரங்க மேல slap அடிச்சிருக்காரு."
Farmers are suffering a lot because of this.,"இதனால, விவசாயிகள் ரொம்ப கஷ்டப்படுறாங்க."
You enjoy what you do.,"உங்களுக்கு, நீங்க செய்யுற வேலையெல்லாம் ரொம்ப சந்தோஷத்தோட செய்வீங்க."
We asked questions.,நாங்க questions கேட்டோம்.
A new government has come to India.,இந்தியால புது government வந்திருக்கு.
And then I talked to the reporters.,அதுக்கு அப்புறம் reporters-கிட்ட பேசினப்போ
500 C.E.,500 C.E.
"So, this has to be done.","அதனால, இத பண்ணித்தான் ஆகணும்."
There is a width of 2 centimeters.,அப்போ 2 centimeters width இருக்கும்.
"First, the reason.","முதல்ல, காரணம்."
I was interested in thinking that it would bring joy and laughter to people.,அது மக்களுக்கு சந்தோஷத்தையும் சிரிப்பையும் கொண்டு வரும்னு நினைச்சதுல தான் எனக்கு ஆர்வம் வந்துச்சு.
He is from Kupwara.,அவர் Kupwara-வை சேர்ந்தவர்.
Will the family get out of so much trouble?,அந்த family-அ இவ்வளவு கஷ்டத்துல இருந்து மீட்பாங்களா?
News should be credible.,News credible-ஆ இருக்கணும்.
"One mother said that it is a good thing that my house is being built, I will conduct the wedding of my children and invite you to marriage.","என் வீடு கட்டப்படுறது ரொம்ப நல்ல விஷயம், என் புள்ளங்களோட கல்யாணம் நான் தான் நடத்துவேன், உங்கள marriage-க்கு invite பண்றேன்னு ஒரு அம்மா சொன்னாங்க."
Benefits of goat's milk.,ஆடு பால்-னால கிடைக்குற பயன்கள்.
"Italian Sikhs generally engage in agriculture, agricultural processing, machine tools manufacture and horticulture.","Italian Sikhs பொதுவா agriculture, agricultural processing, machine tools manufacture பண்ணுறது, horticulture-ல ஈடுபடுவாங்க."
"In this regard, the woman is in police standing.",இது சம்பந்தமா அந்தப் பெண் போலீஸ் ஸ்டேடிங்க.
Nine people have been killed in a suicide bombing in Iraq.,Iraq-ல நடந்த தற்கொலைத் தாக்குதலில் 9 பேர் இறந்திருக்காங்க.
Heavy rain is likely to occur in Tamil Nadu.,தமிழ்நாடு முழுவதும் கனமழை பெய்ய வாய்ப்பு இருக்கு.
Isn't it the duty of the government to protect honest people?,"நேரிதான், நேர்மையானவங்கள காப்பாத்தணும்னு அரசாங்கத்தின் கடமை இல்லையா?"
"When the event happened, Rs.","Event நடந்தப்போ, Rs."
Especially actresses.,குறிப்பா actresses.
"In The Analects, the third in Confucian Four Books, this thought is mentioned three times.","Confucian Four Books-ல மூணாவதா இருக்குற The Analects-ல, இந்த thought மூணு தடவை சொல்லி இருக்காங்க."
It's very difficult to explain that our farmers are misinterpreting their rules to export their produce.,நம்ம விவசாயிகளோட produce-ஐ export பண்றதுக்கு அவங்க rules தப்பா interpret பண்றாங்கன்னு சொல்லி புரிய வைக்க ரொம்ப கஷ்டமா இருக்கு.
The leading government led by the CPI(M) used the LandAcquisition Act of 1894 to acquire 997 acres of agricultural land for the plant.,CPI (M) தலைமையிலான முன்னணி அரசாங்கம் 1894 LandAcquisition Act-ஐ பயன்படுத்தி ஆலைக்கான 997 ஏக்கர் விவசாய நிலத்தை கைப்பற்றியது.
A brave man.,ஒரு தைரியமான ஆள்.
Who's going to provide it?,யாரு அது provide பண்ண போறாங்க?
"When the kin is in the division, feed the orphans and the needy and say nice words to them.","அந்த kin எல்லாம் division-ல இருக்கும்போது, orphans and the needy-ன்னு இருக்கறவங்களுக்கு அதுல இருந்து சாப்பாடு கொடுத்து, அவங்களுக்கு நல்ல வார்த்தைகள் சொல்லுங்க."
Use only boiled water.,கொதிக்க வச்சு எடுக்கப்பட்ட தண்ணி மட்டும் use பண்ணுங்க.
This is a story of two sisters.,இது ரெண்டு அக்காங்கற கதை.
The South Africa team won the 3 match Test series or 2-1.,South Africa team 3 match Test series-அ 2-1-ல ஜெயிச்சிருக்காங்க.
My security officer told me my grandmother had been shot.,என் பாட்டி சுடப்பட்டதாக என் security officer சொன்னார்.
"Hey, what's wrong?","ஏய், என்னாச்சுங்க?"
There is an option to watch free live TV channels on the Jio TV app.,Jio TV app-ல free-யா live TV channels பாக்குறதுக்கு option இருக்கு.
Are they on TV?,டிவில இருக்காங்களா?
What is hydraulic fracturing?,Hydraulic Fracturing-னா என்னங்க?
I learnt a lot from him.,அவர்கிட்ட இருந்து நிறைய விஷயம் கத்துக்கிட்டேன்.
"After three attacks by Saul, David flees and fugitive.","சவுல் மூணு தடவை attack பண்ணிட்டதால, டேவிட் flee பண்ணிட்டு fugitive ஆயிட்டாரு."
"For example, for those who retire in 2003-2004, the balance arrears's first installment will be given in 2003-2004 including interest up to 31.3.2003. The second and third installments will be paid in subsequent years.","உதாரணத்துக்கு, 2003-2004-ல retire ஆகுறவங்களுக்கு, balance arrears-ஓட first installment, interest-ஓட 31.3.2003 வரைக்கும் சேர்த்து, 2003-2004-லயே கொடுக்கப்படும். இரண்டாவது, மூணாவது installment அடுத்தடுத்து வர்ற வருஷங்கள்ல கொடுக்கப்படும்."
The death toll stands at 170.,இறப்பு எண்ணிக்கை 170 ஆக இருக்கு.
There are no other financial implications.,இதுல வேற எந்த financial implications-ம் இல்ல.
I've already written a letter.,நான் already ஒரு letter எழுதி இருக்கேன்.
"If you look at how Bush and his security advisors view the German population, it's more than a danger or rational estimate.","இந்த presidential visit-ஓட hysteria-க்கு Bush-ம் அவரோட security advisors-ம் German population-அ எப்படி பாக்குறாங்கன்னு பார்த்தா, அதுல தான் danger-அ rational ஆ estimate பண்றதுக்கு பதிலா இருக்கு."
But it started rioting again.,ஆனா மறுபடியும் கலவரத்தோட ஆரம்பிச்சுடுச்சு.
I can't tell you now.,இப்போ சொல்ல முடியாது.
"Therefore, this department will monitor the cases/complaints for human rights violations, take deterrent action against violators through administrative departments and prescribe remedial measures including compensation.","அதனால, இந்த Department human rights violations-க்கான Cases/complaints-அ monitor பண்ணி, administrative departments மூலமா violators-க்கு எதிரா deterrent action எடுக்கறது, compensation கொடுக்கறது இதெல்லாம் சேர்த்து remedial measures-அ prescribe பண்ணும்."
"The Cabinet has approved to extend the tenure of the Commission created under Article 340 of the Constitution to examine sub-categorization within Other Backward Classes in the Central List. The Union Cabinet, headed by Prime Minister Shri Narendra Modi, has approved the extension of the Commission's tenure set up to examine the sub-categorization of Other Backward Classes in the Central List for six months till 31.7.2020.","Central List-ல Other Backward Classes-க்குள்ள sub-categorization பத்தி ஆராயறதுக்காக constitution-ல Article 340-ல உருவாக்கப்பட்ட Commission-ஓட tenure-ஐ நீட்டிக்க Cabinet approve பண்ணிருக்கு. Prime Minister Shri Narendra Modi தலைமையிலான Union Cabinet, Central List-ல Other Backward Classes-க்கான Sub-categorization பத்தி ஆராயறதுக்காக உருவாக்கப்பட்ட Commission-ஓட tenure-ஐ 31.7.2020 வரைக்கும், அதாவது ஆறு மாசம் நீட்டிக்க approve பண்ணிருக்கு."
Tell me? It's called robot jockeys.,சொல்லுங்க? Robot jockeys-ன்னு சொல்லுவாங்க.
The police were looking for him.,பொலிஸ் அவர தேடிட்டு இருந்தாங்க.
Average Bitrate,Average Bitrate
"That's more than Grand Theft Auto: San Andreas, breaking the record by selling 501,000 copies in the same period.","இது Grand Theft Auto: San Andreas-ஐ விட அதிகம், அதே period-ல 501,000 copies விற்று record-ஐ முறியடிச்சிருக்கு."
"If you violate the rules, you will be punished, he said.","Rules-ஐ மீறினா கண்டிப்பா தண்டனை அனுபவிக்க வேண்டியதுதான், அவர் சொல்லியிருக்காரு."
"While there's no doubt that the money is coming into official circles, the project is likely to spark more resistance.","பணம் official circles-ல வரதுல எந்த சந்தேகமும் இல்லன்னாலும், இந்த project இன்னும் எதிர்ப்பை எழுப்புறதுக்கு வாய்ப்பு இருக்கு."
Petrol is available at Rs 30.70 per litre for dealers.,Dealers-க்கு ஒரு லிட்டர் பெட்ரோல் ₹30.70-க்கு கிடைக்குது.
"Black color symbolizes excellence, strength, innovation, elegance, the brand's dynamic attitude, silver color symbolizes sophistication and grandeur.","கருப்பு கலர் excellence, strength, innovation, elegance, brand-ஓட dynamic attitude-ஐ symbolise பண்ணும்னு சொல்றாங்க, silver கலர் sophistication, grandeur-ஐ symbolise பண்ணும்னு சொல்லுவாங்க."
"Rather, we have put our trust in Jehovah.","மாறாக, நாம யெகோவா மேல நம்பிக்கை வச்சிருக்கோம்."
I'll be by their side.,நான் அவங்க பக்கத்துல இருப்பேன்.
The Malayalam film SDurga has been directed by Sanal Kumar Sasidharan.,SDurga என்ற மலையாள படத்த Sanal Kumar Sasidharan direct பண்ணிருக்காரு.
Shall I delete the encoder?,encoder-ஐ delete பண்ணிடலாமா?
The buildings in that complex are spread across the 19 hectare area.,அந்த complex-ல இருக்குற buildings எல்லாம் 19 hectare area-வுல பரவலா பரவியிருக்கு.
"Are people going to be alone thinking that if we say we believe, there will be no fighting, they will just let go?","நாம நம்புறோம் -ன்னு சொல்லிட்டா, சண்டை இருக்காது, சும்மா விட்டுருவாங்க -ன்னு நெனச்சுட்டு மக்கள் தனியா இருக்க போறாங்களா?"
Nutritious food is very important for children.,குழந்தைகளுக்கு சத்தான உணவு ரொம்ப முக்கியம்.
Bhavana is also her husband Naveen.,பாவனா அவங்க கணவர் நவீன் கூட.
"If this scheme is implemented, 676 acres will be benefited.","இந்த scheme-ஐ implement பண்ணா, 676 acres அளவுக்கு பயன் இருக்கு."
"These are the descendants of Adam, the descendants of Noah, all the descendants of Abraham and Israel. God guided them and chose them for His favor. Whenever they hear of Bhagwan's blessings, they sweat their tears and bow their heads.","இவங்க Adam-ன் சந்ததியினர், Noah-ஓட சேர்ந்தவர்கள், Abraham மற்றும் Israel-ன் சந்ததியினர் எல்லாரும். கடவுள் அவங்களுக்கு வழிகாட்டினார், அவங்கள தம் favor-க்குத் தேர்ந்தெடுத்தார். பகவான்-ஓட அருட்கொடையான விஷயங்களை அவங்க கேட்கும்போதெல்லாம், கண்ணீர் வியர்த்து தலை குனிஞ்சு வணங்கிப் போவாங்க."
The police raided the hotel where they were staying.,அவங்க stay பண்ணிட்டு இருந்த hotel-ஐ police raid பண்ணாங்க.
"General Manager, Indcoserve Konur-643101","General Manager, Indcoserve கோனூர்-643101"
This was followed by the distribution of prasad to the devotees.,இதைத் தொடர்ந்து பக்தர்களுக்கு பிரசாத் வழங்கப்பட்டது.
"Beetroot is rich in iron, calcium and minerals.","பீட்ரூட்-ல இரும்பு, கால்சியம், minerals நிறைய இருக்கு."
So there's no shortage of convenience.,அதனால வசதிக்கு எந்த ஒரு பஞ்சமும் இல்லை.
They are very compassionate and try their best to minimise the suffering.,"அவங்க ரொம்ப compassionate, கஷ்டத்த குறைக்க எவ்வளவு முடியுமோ எல்லாம் முயற்சி பண்ணுவாங்க."
"Jesus found out that they were speaking the truth and asked, ""Who will help me in God's work?"" We are God's helpers, the disciples replied. We believe in him. Jesus, bear witness that we have obeyed his will.","சேசு அவங்க உண்மைய மறுத்து பேசுறத கண்டுபிடிச்சு, யார் கடவுளுடைய காரியத்துல எனக்கு உதவி பண்ணுவாங்க?ன்னு கேட்டார். நாமதான் கடவுளோட helpers -ன்னு disciples reply பண்ணாங்க. நாங்க அவர நம்புறோம். இயேசுவே, நாம அவருடைய விருப்பத்திற்குக் கீழ்ப்படிஞ்சிருக்கோம்னு சாட்சி சொல்லுங்களேன்."
Turmeric powder 3 tbsp,மஞ்சள் தூள் 3 tbsp
Century Spinning and Manufacturing Company.,Century Spinning and Manufacturing Company-ன்னு சொல்லுவாங்க.
"Then Pharaoh told Joseph, Tell your brothers, do this. Load up your beasts and head to Canacon.","அப்புறம் Pharaoh யோசேப்பிடம், உங்க சகோதரர்கள்கிட்ட சொல்லு, இத செய்யுங்க ன்னு சொன்னாரு. உங்க beasts-ஐ load பண்ணிட்டு, Canaan நாட்டுக்கு போயிட்டு வாங்க."
The C5 Aircross has two driving modes: Eco and Sport.,"C5 Aircross-ல Eco, Sport-ன்னு ரெண்டு driving modes இருக்கு."
It's empty.,அது காலியா இருக்கு.
A seminar was also organized.,ஒரு seminar-ம் organise பண்ணிருந்தாங்க.
We're saying this clearly.,நாங்க இத clear-ஆ சொல்றோம்.
"Based on this FSL report, the UP Police has said that the woman did not rape.",இந்த FSL report-ஐ வச்சுதான் UP Police அந்தப் பெண்ணு rape பண்ணலன்னு சொல்லி இருக்காங்க.
Iconic News,சின்ன செய்திகள்
"The men of my tent, if we get his meat! If we don't say that, we can't be satisfied.","என் கூடாரத்தோட ஆண்கள், அவருடைய மாமிசம் எங்களுக்குக் கிடைத்தா! என்று சொல்லாம இருந்தா, நாம திருப்தி ஆக முடியாதுங்க."
"Lord, I am waiting for your salvation.","கர்த்தா, உம்முடைய salvation-க்காக நான் காத்திருக்கிறேன்."
Your sure hope and firm conviction are shared by a lot of people.,உங்க sure hope-ம் firm conviction-ம் நிறைய பேராலயும் share பண்ணப்படுது.
Finance improves.,Finance improve ஆகும்.
"A famous music composer has been roped in for the serial Namma Kudumbam to compose music, so the serial has reached star status.","Namma Kudumbam சீரியலுக்கு பிரபலமான இசையமைப்பாளர் ஒருத்தர music compose பண்ண வச்சிருக்காங்க, அதனால அந்த சீரியல் star status-க்கு வந்துடுச்சு."
Then the police arrested the four men.,அப்புறம் போலீஸ் அந்த நாலு பேரையும்யும் arrest பண்ணிட்டாங்க.
Remove it.,அதை remove பண்ணிடனும்.
Health advice and health information through paramedics and MBBS doctors.,paramedics மற்றும் MBBS doctors மூலமா Health advice மற்றும் Health information.
"As part of our simplification of administrative processes, apart from pollution clearance of the Tamil Nadu Pollution Control Board (TNPCB), a common application form has been designed to meet the information requirements for pre-project clearances and infrastructure support.","நம்ம administrative processes-அ simplify பண்றதுல ஒரு பகுதியா, Tamil Nadu Pollution Control Board (TNPCB)-ஓட pollution clearance தவிர, pre-project clearances and infrastructure support-க்கான information requirements-அ meet பண்றதுக்காக ஒரு common application form design பண்ணிருக்காங்க."
There's no sense in that.,இதுல எந்த ஒரு sense-ம் இல்லையேங்க.
Thyroid problems?,Thyroid பிரச்சனைகளா?
He said he would be the Chief Minister.,அவர் தான் Chief Minister ஆகுவாங்கன்னு சொன்னாங்க.
Is it the same in your country?,உங்க நாட்டுலயும் அப்படித்தானே?
4500 Crores.,4500 கோடி.
Virtual Bilateral Summit between India and Sri Lanka,இந்தியா மற்றும் இலங்கைக்கு இடையிலான Virtual Bilateral Summit
He also said that he was very happy with the courts' verdict.,அவர் courts-ஓட verdict-ல ரொம்ப சந்தோஷமா இருக்குன்னும் சொல்லி இருக்காரு.
Are you going to marry him?,அதை கல்யாணம் பண்ணிக்க போறீங்களா?
No new trains have been announced in the budget.,பட்ஜெட்ல எந்த புது trains-ம் announce பண்ணல.
There was another drought in 1997 and then in 1999-2000.,"1997-லயும், அப்புறம் 1999-2000-லயும் இன்னொரு வறட்சி வந்தது."
Tax overlaps and cascades do not create any problems for tax calculation and collection.,Tax overlaps and cascades இருந்தாலும் tax calculation and collection-க்கு எந்த பிரச்சனையும் உருவாக்காது.
I'm not arguing.,நான் வாக்குவாதம் பண்ணல.
What's going on here?,இங்க என்ன நடக்குது?
It's so nice to be here with you.,உங்களோட சேர்ந்து இங்க இருக்க ரொம்ப சந்தோஷமா இருக்கு.
"For this, the Pakistan Army always needs a perpetual enemy India.","இதுக்கு, Pakistan Army-க்கு எப்பவும் ஒரு perpetual enemy India வேணும்."
The NDA in Tamil Nadu is led by embattled AIADMK.,தமிழ்நாட்டுல இருக்குற NDA-வ lead பண்றது embattled AIADMK தான்.
31 La Bambouseraie is a dream come true,31 La Bambouseraie ஒரு கனவு உண்மை
The police are asking the members of the house and the neighbors.,பொலிஸ் வீட்டு members-ஐயும் பக்கத்துல இருக்கவங்களையும் கேட்டுட்டு இருக்காங்க.
"These names show that they belong to Jehovah and his Son, and they proudly testify about it.","இந்தப் பெயர்கள், அவங்க யெகோவாவுக்கும் அவருடைய குமாரனுக்கும் சொந்தமானவர்கள் என்பதைக் காட்டுது, அதைப் பத்தி அவங்க பெருமையா சான்று சொல்றாங்க."
"Then, at a joint press conference at Berlusconi in Berlin, Merkel again rejected proposals for pan-European bailout, saying that all countries should fulfil their responsibilities.","பிறகு, Berlin-ல Berlusconi-ஓட ஒரு joint press conference-ல, Merkel மறுபடியும் pan-European bailout-க்கான proposals-ஐ reject பண்ணிட்டாங்க, எல்லா நாடுகளும் அவங்க அவங்க responsibilities-ஐ செய்யணும்-ன்னு சொல்லி."
Who do you want to be like?,யாரோட மாதிரி இருக்கணும்னு நினைக்கிறீங்க?
Is that the reason?,அதான் காரணமா?
"New Delhi, Oct 07: As part of the cost-cutting drive, investment banking company HSBC is cutting up to 10,000 jobs, according to a Financial Times report.","New Delhi, Oct 07: cost-cutting drive-ஓட ஒரு பகுதியா, investment banking company HSBC 10,000 வேலைகள் வரைக்கும் குறைக்கப் போறதா Financial Times report-ல சொல்லி இருக்கு."
"The depth is from ankle-deep to knee-deep, hip-deep, and then it's a torrent big enough to go swimming. The river brings life and prosperity.","அதோட ஆழம் ankle - deep-ல இருந்து knee - deep, hip - deep, அப்புறம் swimming-க்குப் போற அளவுக்கு பெரிய torrent-ஆ இருக்கு. நதி உயிரையும், வளத்தையும் கொண்டு வருது."
Mailbox 7,Mailbox 7
The Next Few Days,அடுத்த சில நாட்கள்
Johnson said that Britain was always committed to Iraq's stability and sovereignty and stressed the importance of a continued fight against the Daesh threat.,"Johnson, Iraq-ன் stability and sovereignty-க்கு Britain எப்பவும் உறுதியா இருக்குன்னு சொல்லி, Daesh-னால வர threat-க்கு எதிரான தொடர்ச்சியான போராட்டத்தின் முக்கியத்துவத்தையும் வலியுறுத்தினார்."
He made arrangements to visit the brothers in our congregation.,அவர் எங்க congregation-ல இருக்குற brothers-ஐப் பாக்குறதுக்கான ஏற்பாடுகளைச் செஞ்சு கொடுத்தாரு.
The city was built on the island of Lake Texcoco in the Valley of Mexico.,"அந்த city, Valley of Mexico-ல இருந்த Lake Texcoco-ன்னு சொல்லுவாங்களே, அந்த island-ல கட்டப்பட்டது."
Ask for an inquiry.,விசாரணைக்கு கேளுங்கள்.
"In camp life, it's a lot of work, very little food.","Camp life-ல ரொம்ப வேலை, ரொம்ப கம்மியா சாப்பாடு தான் அன்றாட வாழ்க்கை."
People are very angry about this.,இதால மக்கள் ரொம்ப கோபப்பட்டிருக்காங்க.
"Let's live together, they said.","நாம சேர்ந்து வாழலாம், அவங்க சொன்னாங்க."
"In this case, the police have registered a case and are investigating the incident.","இந்த விஷயத்துல போலீஸ் case register பண்ணி, incident-அ investigate பண்ணிட்டு இருக்காங்க."
Ok mother-in-law.,சரிங்க மாமியார்.
"For the first time in Latin America, same-sex marriage has been granted legal permission in Argentina.",Latin American நாடுகள்ல முதல் முறையா Argentina-ல same-sex marriage-க்கு legal permission கொடுத்திருக்காங்க.
People need to understand this.,இத மக்கள் புரிஞ்சுக்கணும்.
"So far, 41,03,233 samples have been tested for COVID-19, of which 1,37,158 samples were tested yesterday.","இதுவரைக்கும் COVID-19-க்கு 41,03,233 samples test பண்ணிருக்காங்க, அதுல நேத்து 1,37,158 samples test பண்ணிருக்காங்க."
"While the country's official unemployment rate is 12 percent, according to Bolivia's Center for the Study of Labor and Agricultural Development, 45 percent of economically active population lives in part-time jobs or the informal sector without any steady work.","நாட்டோட official unemployment rate 12 percent-ஆ இருந்தாலும், Bolivia-வோட Center for the Study of Labor and Agricultural Development-ன் படி, economically active population-ல 45 percent பேர் எந்த ஒரு steady work-ம் இல்லாம, part-time jobs-லயோ அல்லது informal sector-லயோ தான் வாழ வேண்டிய சூழ்நிலை இருக்குன்னு சொல்லுது."
"When he sees them from a distance, he can hear it squealing and sighing.","அது தூரத்திலிருந்து அவங்களப் பாக்கும்போது, அது கெடுக்குற சத்தம், பெருமூச்சு அவங்களுக்குக் கேட்கும்."
Q: Can you tell me what's wrong?,Q: என்னாச்சுன்னு சொல்ல முடியுமா?
"The agreement was signed by Prof. Santosh Kapuria, Director, CSIR-SERC, Chennai and Shri S.K. Ray Mohapatra, Chief Engineer (PSE & TD), Central Electricity Authority, New Delhi.","இந்த agreement-ல CSIR-SERC, Chennai-யோட Director Prof.Santosh Kapuria அவர்களும் New Delhi-ல இருக்குற Central Electricity Authority-யோட Chief Engineer (PSE & TD) Shri S.K.Ray Mohapatra அவர்களும் இருந்தாங்க."
He said in an interview that the authentic history of Pakistan and its independence is yet to be written.,"அவர் ஒரு interview-ல சொன்னது என்னன்னா, Pakistan-ம் அதோட independence-ம் பத்தின authentic history இன்னும் எழுதப்படல."
It's spreading rapidly in the social media.,இது social media-ல வேகமா பரவி இருக்கு.
His journey wasn't so smooth.,அவருடைய பயணம் அவ்வளவு smooth-ஆ இருக்கல.
There were ninety-six pomegranates on one side. There's a hundred around all the pomegranates on the network.,ஒரு பக்கத்துல தொண்ணூத்தி ஆறு pomegranates இருந்துச்சு. அந்த network-ல இருக்குற எல்லா pomegranates-ம் சுத்தி நூறு இருக்கு.
All the victims are from Karnataka.,பாதிக்கப்பட்ட எல்லாருமே Karnataka-வைச் சேர்ந்தவங்கன்னு சொல்லலாம்.
No one can take his place.,அவரோட இடத்தை யாருமே நிரப்ப முடியாதுங்க.
The whole world is in danger here.,இங்க முழு உலகமே ஆபத்துல இருக்கு.
Is he the right person for me? What can I bring to the wedding?,இவங்க எனக்கு சரியான ஆளா? கல்யாணத்துக்கு நான் என்ன கொண்டு வரலாம்?
You don't need to be afraid.,உங்களுக்கு பயப்பட தேவையில்லைங்க.
